duration,protocol_type,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_file_creations,num_shells,num_access_files,is_guest_login,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,target,Attack Type
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,9,345,5419,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,0.0,0.0,1.0,0.0,0.0,101,255,0.0,0.01,0.02,11,1
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,2,1.0,0.0,0.01,0.06,0.0,255,2,0.07,0.0,0.0,9,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,20,1.0,0.0,0.07,0.05,0.0,255,20,0.05,0.0,0.0,9,0
0,1,9,309,1158,0,0,0,0,0,1,0,0,0,0,0,0,0,15,15,0.0,0.0,1.0,0.0,0.0,255,255,0.0,0.0,0.0,11,1
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,463,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,18,1.0,0.0,0.12,0.06,0.0,255,18,0.06,0.0,0.0,9,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,7,0.0,1.0,0.03,0.07,0.0,255,7,0.08,0.0,0.0,9,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,1.0,0.0,0.0,2,255,0.0,0.5,0.16,11,1
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,11,1.0,0.0,0.05,0.06,0.0,255,11,0.05,0.0,0.0,9,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,3,1.0,0.0,0.03,0.07,0.0,255,3,0.06,0.0,0.0,9,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,9,1.0,0.0,0.04,0.05,0.0,255,17,0.07,0.0,0.0,9,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,508,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,1.0,1.0,0.0,0.0,1,255,0.0,1.0,0.2,11,1
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,15,1.0,0.0,0.12,0.06,0.0,255,1,0.07,0.0,0.0,9,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,442,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,1,1.0,0.0,0.0,0.07,0.0,255,1,0.07,0.0,0.0,9,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,15,1.0,0.0,0.06,0.06,0.0,255,15,0.07,0.0,0.0,9,0
0,1,9,235,309,0,0,0,0,0,1,0,0,0,0,0,0,0,11,11,0.0,0.0,1.0,0.0,0.0,188,255,0.0,0.01,0.01,11,1
0,1,9,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,5,5,0.0,0.0,1.0,0.0,0.0,76,76,0.0,0.01,0.0,0,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,478,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,459,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,450,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,22,1.0,0.0,0.09,0.04,0.0,255,22,0.05,0.0,0.0,9,0
0,2,9,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,0.0,255,229,0.01,0.01,0.0,11,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,8,0.0,1.0,0.07,0.07,0.0,255,8,0.08,0.0,0.0,9,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,19,1.0,0.0,0.07,0.06,0.0,255,19,0.07,0.0,0.0,9,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,6,1.0,0.0,0.02,0.05,0.0,255,6,0.05,0.0,0.0,9,0
0,0,9,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,1.0,0.0,0.0,255,255,0.0,1.0,0.0,18,0
0,1,9,233,504,0,0,0,0,0,1,0,0,0,0,0,0,0,16,20,0.0,0.0,1.0,0.0,0.1,36,255,0.0,0.03,0.05,11,1
0,1,9,237,1718,0,0,0,0,0,1,0,0,0,0,0,0,0,14,14,0.0,0.07,1.0,0.0,0.0,87,255,0.0,0.02,0.02,11,1
